2024-07-01 14:16:36 0 [Note] Starting MariaDB 10.4.32-MariaDB source revision c4143f909528e3fab0677a28631d10389354c491 as process 14620
2024-07-01 14:16:36 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2024-07-01 14:16:36 0 [Note] InnoDB: Uses event mutexes
2024-07-01 14:16:36 0 [Note] InnoDB: Compressed tables use zlib 1.3
2024-07-01 14:16:36 0 [Note] InnoDB: Number of pools: 1
2024-07-01 14:16:36 0 [Note] InnoDB: Using SSE2 crc32 instructions
2024-07-01 14:16:36 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=346] with future log sequence number 2323661
2024-07-01 14:16:36 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=207] with future log sequence number 2323617
2024-07-01 14:16:36 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=344] with future log sequence number 2323617
2024-07-01 14:16:36 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=206] with future log sequence number 2323573
2024-07-01 14:16:36 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=343] with future log sequence number 2323573
2024-07-01 14:16:36 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=205] with future log sequence number 2323529
2024-07-01 14:16:36 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=342] with future log sequence number 2323529
2024-07-01 14:16:36 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=202] with future log sequence number 2323485
2024-07-01 14:16:36 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=339] with future log sequence number 2323485
2024-07-01 14:16:36 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=201] with future log sequence number 2323425
2024-07-01 14:16:36 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=338] with future log sequence number 2323425
2024-07-01 14:16:36 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=200] with future log sequence number 2323381
2024-07-01 14:16:36 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=337] with future log sequence number 2323381
2024-07-01 14:16:36 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=199] with future log sequence number 2323337
2024-07-01 14:16:36 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=336] with future log sequence number 2323337
2024-07-01 14:16:36 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=198] with future log sequence number 2323230
2024-07-01 14:16:36 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=428] with future log sequence number 2323230
2024-07-01 14:16:36 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=197] with future log sequence number 2323186
2024-07-01 14:16:36 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=300] with future log sequence number 2346088
2024-07-01 14:16:36 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=388] with future log sequence number 2346088
2024-07-01 14:16:36 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=298] with future log sequence number 2346044
2024-07-01 14:16:36 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=426] with future log sequence number 2346044
2024-07-01 14:16:36 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=297] with future log sequence number 2346000
2024-07-01 14:16:36 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=425] with future log sequence number 2346000
2024-07-01 14:16:36 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=296] with future log sequence number 2345940
2024-07-01 14:16:36 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=424] with future log sequence number 2345940
